No.,ITEMS,BRAND,SIZE,Outlet,Town,Region,Price
73,DISHWASHING LIQUID,Squeezy,725ml,Massy Stores,Arima,East,15.95
74,SOAP POWDER,Breeze Multi Active,900g,Massy Stores,Arima,East,24.95
75,SOAP POWDER,Radiante,875g,Massy Stores,Arima,East,13.5
82,CORNED BEEF,Target,340g,Massy Stores,Arima,East,16.9
84,INSTANT CHOCOLATE,Nesquik,500g,Massy Stores,Arima,East,24
91,MAUBY,Matouk’s,750ml,Massy Stores,Arima,East,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,Massy Stores,Arima,East,12
105,CORN FLAKES (Local),Sunshine,18 oz,Massy Stores,Arima,East,25.99
15,COOKING MARGARINE,Golden Ray,227g,Maharaj Budget Price,Sangre Grande,East,11
18,TABLE MARGARINE,Flora,445g,Maharaj Budget Price,Sangre Grande,East,21
19,EGGS,Large,1 Doz,Maharaj Budget Price,Sangre Grande,East,22
20,LIQUID MILK (Full Cream),Nestle,1L,Maharaj Budget Price,Sangre Grande,East,12.75
23,POWDERED MILK,Dairy Dairy,225g,Maharaj Budget Price,Sangre Grande,East,16.5
33,FLOUR,Ibis,2kg,Maharaj Budget Price,Sangre Grande,East,14.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Maharaj Budget Price,Sangre Grande,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Maharaj Budget Price,Sangre Grande,East,23
71,TOILET SOAP,Refresh,3pk,Maharaj Budget Price,Sangre Grande,East,17
72,TOOTHPASTE,Colgate,170g,Maharaj Budget Price,Sangre Grande,East,13.95
73,DISHWASHING LIQUID,Squeezy,725ml,Maharaj Budget Price,Sangre Grande,East,16
74,SOAP POWDER,Breeze Multi Active,900g,Maharaj Budget Price,Sangre Grande,East,25
75,SOAP POWDER,Radiante,875g,Maharaj Budget Price,Sangre Grande,East,NA
82,CORNED BEEF,Target,340g,Maharaj Budget Price,Sangre Grande,East,14
84,INSTANT CHOCOLATE,Nesquik,500g,Maharaj Budget Price,Sangre Grande,East,24
91,MAUBY,Matouk’s,750ml,Maharaj Budget Price,Sangre Grande,East,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Maharaj Budget Price,Sangre Grande,East,13
105,CORN FLAKES (Local),Sunshine,18 oz,Maharaj Budget Price,Sangre Grande,East,26
15,COOKING MARGARINE,Golden Ray,227g,Coss Cutters,Sangre Grande,East,11
18,TABLE MARGARINE,Flora,445g,Coss Cutters,Sangre Grande,East,21
19,EGGS,Large,1 Doz,Coss Cutters,Sangre Grande,East,21
20,LIQUID MILK (Full Cream),Nestle,1L,Coss Cutters,Sangre Grande,East,11.5
23,POWDERED MILK,Dairy Dairy,225g,Coss Cutters,Sangre Grande,East,16.5
33,FLOUR,Ibis,2kg,Coss Cutters,Sangre Grande,East,13
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Coss Cutters,Sangre Grande,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Coss Cutters,Sangre Grande,East,22.5
71,TOILET SOAP,Refresh,3pk,Coss Cutters,Sangre Grande,East,16.5
72,TOOTHPASTE,Colgate,170g,Coss Cutters,Sangre Grande,East,17.3
73,DISHWASHING LIQUID,Squeezy,725ml,Coss Cutters,Sangre Grande,East,16
74,SOAP POWDER,Breeze Multi Active,900g,Coss Cutters,Sangre Grande,East,25.5
75,SOAP POWDER,Radiante,875g,Coss Cutters,Sangre Grande,East,13.5
82,CORNED BEEF,Target,340g,Coss Cutters,Sangre Grande,East,15
84,INSTANT CHOCOLATE,Nesquik,500g,Coss Cutters,Sangre Grande,East,23
91,MAUBY,Matouk’s,750ml,Coss Cutters,Sangre Grande,East,13.25
95,ORANGE JUICE,Trinidad Citrus,19 oz,Coss Cutters,Sangre Grande,East,12
105,CORN FLAKES (Local),Sunshine,18 oz,Coss Cutters,Sangre Grande,East,NA
15,COOKING MARGARINE,Golden Ray,227g,Cumana Co Operative,Toco,East,11.5
18,TABLE MARGARINE,Flora,445g,Cumana Co Operative,Toco,East,19.95
19,EGGS,Large,1 Doz,Cumana Co Operative,Toco,East,25
20,LIQUID MILK (Full Cream),Nestle,1L,Cumana Co Operative,Toco,East,13
23,POWDERED MILK,Dairy Dairy,225g,Cumana Co Operative,Toco,East,NA
33,FLOUR,Ibis,2kg,Cumana Co Operative,Toco,East,13.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Cumana Co Operative,Toco,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Cumana Co Operative,Toco,East,23.45
71,TOILET SOAP,Refresh,3pk,Cumana Co Operative,Toco,East,15
72,TOOTHPASTE,Colgate,170g,Cumana Co Operative,Toco,East,18
73,DISHWASHING LIQUID,Squeezy,725ml,Cumana Co Operative,Toco,East,16
74,SOAP POWDER,Breeze Multi Active,900g,Cumana Co Operative,Toco,East,NA
75,SOAP POWDER,Radiante,875g,Cumana Co Operative,Toco,East,14.5
82,CORNED BEEF,Target,340g,Cumana Co Operative,Toco,East,NA
84,INSTANT CHOCOLATE,Nesquik,500g,Cumana Co Operative,Toco,East,23.35
91,MAUBY,Matouk’s,750ml,Cumana Co Operative,Toco,East,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Cumana Co Operative,Toco,East,NA
105,CORN FLAKES (Local),Sunshine,18 oz,Cumana Co Operative,Toco,East,26
15,COOKING MARGARINE,Golden Ray,227g,Back to Basics,Port of Spain,North,11.5
18,TABLE MARGARINE,Flora,445g,Back to Basics,Port of Spain,North,21.5
19,EGGS,Large,1 Doz,Back to Basics,Port of Spain,North,20
20,LIQUID MILK (Full Cream),Nestle,1L,Back to Basics,Port of Spain,North,13.99
23,POWDERED MILK,Dairy Dairy,225g,Back to Basics,Port of Spain,North,16.5
33,FLOUR,Ibis,2kg,Back to Basics,Port of Spain,North,13.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Back to Basics,Port of Spain,North,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Back to Basics,Port of Spain,North,24.5
71,TOILET SOAP,Refresh,3pk,Back to Basics,Port of Spain,North,16.5
72,TOOTHPASTE,Colgate,170g,Back to Basics,Port of Spain,North,NA
73,DISHWASHING LIQUID,Squeezy,725ml,Back to Basics,Port of Spain,North,14.5
74,SOAP POWDER,Breeze Multi Active,900g,Back to Basics,Port of Spain,North,26.5
75,SOAP POWDER,Radiante,875g,Back to Basics,Port of Spain,North,14
82,CORNED BEEF,Target,340g,Back to Basics,Port of Spain,North,15.49
84,INSTANT CHOCOLATE,Nesquik,500g,Back to Basics,Port of Spain,North,23.99
91,MAUBY,Matouk’s,750ml,Back to Basics,Port of Spain,North,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Back to Basics,Port of Spain,North,12
105,CORN FLAKES (Local),Sunshine,18 oz,Back to Basics,Port of Spain,North,26
15,COOKING MARGARINE,Golden Ray,227g,Payless,Port of Spain,North,11.5
18,TABLE MARGARINE,Flora,445g,Payless,Port of Spain,North,22
19,EGGS,Large,1 Doz,Payless,Port of Spain,North,22
20,LIQUID MILK (Full Cream),Nestle,1L,Payless,Port of Spain,North,13.5
23,POWDERED MILK,Dairy Dairy,225g,Payless,Port of Spain,North,16.5
33,FLOUR,Ibis,2kg,Payless,Port of Spain,North,12.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Payless,Port of Spain,North,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Payless,Port of Spain,North,23.95
71,TOILET SOAP,Refresh,3pk,Payless,Port of Spain,North,14.95
72,TOOTHPASTE,Colgate,170g,Payless,Port of Spain,North,15.95
73,DISHWASHING LIQUID,Squeezy,725ml,Payless,Port of Spain,North,NA
74,SOAP POWDER,Breeze Multi Active,900g,Payless,Port of Spain,North,26.95
75,SOAP POWDER,Radiante,875g,Payless,Port of Spain,North,22.95
82,CORNED BEEF,Target,340g,Payless,Port of Spain,North,NA
84,INSTANT CHOCOLATE,Nesquik,500g,Payless,Port of Spain,North,24.95
91,MAUBY,Matouk’s,750ml,Payless,Port of Spain,North,NA
95,ORANGE JUICE,Trinidad Citrus,19 oz,Payless,Port of Spain,North,11.99
105,CORN FLAKES (Local),Sunshine,18 oz,Payless,Port of Spain,North,26
15,COOKING MARGARINE,Golden Ray,227g,Jumbo Foods,Barataria,North,11.95
18,TABLE MARGARINE,Flora,445g,Jumbo Foods,Barataria,North,22.95
19,EGGS,Large,1 Doz,Jumbo Foods,Barataria,North,21.95
20,LIQUID MILK (Full Cream),Nestle,1L,Jumbo Foods,Barataria,North,12.95
23,POWDERED MILK,Dairy Dairy,225g,Jumbo Foods,Barataria,North,16.5
33,FLOUR,Ibis,2kg,Jumbo Foods,Barataria,North,11.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Jumbo Foods,Barataria,North,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Jumbo Foods,Barataria,North,22.95
71,TOILET SOAP,Refresh,3pk,Jumbo Foods,Barataria,North,16.95
72,TOOTHPASTE,Colgate,170g,Jumbo Foods,Barataria,North,15.95
73,DISHWASHING LIQUID,Squeezy,725ml,Jumbo Foods,Barataria,North,15.95
74,SOAP POWDER,Breeze Multi Active,900g,Jumbo Foods,Barataria,North,25.95
75,SOAP POWDER,Radiante,875g,Jumbo Foods,Barataria,North,13.95
82,CORNED BEEF,Target,340g,Jumbo Foods,Barataria,North,14.95
84,INSTANT CHOCOLATE,Nesquik,500g,Jumbo Foods,Barataria,North,24.95
91,MAUBY,Matouk’s,750ml,Jumbo Foods,Barataria,North,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Jumbo Foods,Barataria,North,9.95
105,CORN FLAKES (Local),Sunshine,18 oz,Jumbo Foods,Barataria,North,25.99
15,COOKING MARGARINE,Golden Ray,227g,Food Giant,Barataria,North,10.5
18,TABLE MARGARINE,Flora,445g,Food Giant,Barataria,North,20.95
